位置序号,36×36行,36×36列,IP组,序号,组,引脚编号,连接器
114,3,5,103,45,一组,171,2-5-11
78,2,5,103,46,一组,172,2-5-13
115,3,6,103,47,一组,173,2-5-15
116,3,7,103,48,一组,174,2-5-17
80,2,7,103,49,一组,175,2-5-19
79,2,6,104,0,一组,176,2-6-1
44,1,7,104,1,一组,177,2-6-3
8,0,7,104,2,一组,178,2-6-5
7,0,6,104,3,一组,179,2-6-7
43,1,6,104,4,一组,180,2-6-9
6,0,5,104,5,一组,181,2-6-11
5,0,4,104,6,一组,182,2-6-13
41,1,4,104,7,一组,183,2-6-15
42,1,5,104,8,一组,184,2-6-17
77,2,4,104,9,一组,185,2-6-19
257,7,4,104,10,一组,186,2-7-1
258,7,5,104,11,一组,187,2-7-3
222,6,5,104,12,一组,188,2-7-5
259,7,6,104,13,一组,189,2-7-7
260,7,7,104,14,一组,190,2-7-9
224,6,7,104,15,一组,191,2-7-11
223,6,6,104,16,一组,192,2-7-13
188,5,7,104,17,一组,193,2-7-15
152,4,7,104,18,一组,194,2-7-17
151,4,6,104,19,一组,195,2-7-19
187,5,6,104,20,一组,196,2-8-1
150,4,5,104,21,一组,197,2-8-3
149,4,4,104,22,一组,198,2-8-5
185,5,4,104,23,一组,199,2-8-7
186,5,5,104,24,一组,200,2-8-9
221,6,4,104,25,一组,201,2-8-11
401,11,4,104,26,一组,202,2-8-13
402,11,5,104,27,一组,203,2-8-15
366,10,5,104,28,一组,204,2-8-17
403,11,6,104,29,一组,205,2-8-19
404,11,7,104,30,一组,222,2-9-1
368,10,7,104,31,一组,223,2-9-3
367,10,6,104,32,一组,224,2-9-5
332,9,7,104,33,一组,225,2-9-7
296,8,7,104,34,一组,226,2-9-9
295,8,6,104,35,一组,227,2-9-11
331,9,6,104,36,一组,228,2-9-13
294,8,5,104,37,一组,229,2-9-15
293,8,4,104,38,一组,230,2-9-17
329,9,4,104,39,一组,231,2-9-19
330,9,5,104,40,一组,232,2-10-1
365,10,4,104,41,一组,233,2-10-3
545,15,4,104,42,一组,234,2-10-5
546,15,5,104,43,一组,235,2-10-7
510,14,5,104,44,一组,236,2-10-9
547,15,6,104,45,一组,237,2-10-11
548,15,7,104,46,一组,238,2-10-13
512,14,7,104,47,一组,239,2-10-15
511,14,6,104,48,一组,240,2-10-17
476,13,7,104,49,一组,241,2-10-19
440,12,7,105,0,一组,242,3-1-1
439,12,6,105,1,一组,243,3-1-3
475,13,6,105,2,一组,244,3-1-5
438,12,5,105,3,一组,245,3-1-7
437,12,4,103,43,一组,246,3-1-9
473,13,4,105,5,一组,247,3-1-11
474,13,5,105,6,一组,248,3-1-13
509,14,4,105,7,一组,249,3-1-15
689,19,4,105,8,一组,250,3-1-17
690,19,5,105,9,一组,251,3-1-19
654,18,5,105,10,一组,252,3-2-1
691,19,6,105,11,一组,253,3-2-3
692,19,7,105,12,一组,254,3-2-5
656,18,7,105,13,一组,255,3-2-7
655,18,6,105,14,一组,256,3-2-9
620,17,7,105,15,一组,257,3-2-11
584,16,7,105,16,一组,258,3-2-13
583,16,6,105,17,一组,259,3-2-15
619,17,6,105,18,一组,260,3-2-17
582,16,5,105,19,一组,261,3-2-19
581,16,4,101,13,一组,277,3-3-1
617,17,4,105,20,一组,278,3-3-3
618,17,5,105,22,一组,279,3-3-5
653,18,4,105,23,一组,280,3-3-7
833,23,4,105,24,一组,281,3-3-9
834,23,5,105,25,一组,282,3-3-11
798,22,5,105,26,一组,283,3-3-13
835,23,6,105,27,一组,284,3-3-15
836,23,7,105,28,一组,285,3-3-17
800,22,7,105,29,一组,286,3-3-19
799,22,6,105,30,一组,287,3-4-1
764,21,7,105,31,一组,288,3-4-3
728,20,7,105,32,一组,289,3-4-5
727,20,6,105,33,一组,290,3-4-7
763,21,6,105,34,一组,291,3-4-9
726,20,5,105,35,一组,292,3-4-11
725,20,4,105,36,一组,293,3-4-13
761,21,4,105,37,一组,294,3-4-15
762,21,5,105,38,一组,295,3-4-17
797,22,4,105,39,一组,296,3-4-19
977,27,4,105,40,一组,297,3-5-1
978,27,5,105,41,一组,298,3-5-3
942,26,5,105,42,一组,299,3-5-5
979,27,6,105,43,一组,300,3-5-7
980,27,7,105,44,一组,301,3-5-9
944,26,7,105,45,一组,302,3-5-11
943,26,6,105,46,一组,303,3-5-13
908,25,7,105,47,一组,304,3-5-15
872,24,7,105,48,一组,305,3-5-17
871,24,6,105,49,一组,306,3-5-19
907,25,6,106,0,一组,307,3-6-1
870,24,5,106,1,一组,308,3-6-3
869,24,4,106,2,一组,309,3-6-5
905,25,4,106,3,一组,310,3-6-7
906,25,5,106,4,一组,311,3-6-9
941,26,4,106,5,一组,312,3-6-11
1293,35,32,106,6,一组,313,3-6-13
1294,35,33,106,7,一组,314,3-6-15
1258,34,33,106,8,一组,315,3-6-17
1295,35,34,106,9,一组,316,3-6-19
1121,31,4,106,10,二组,1,3-7-1
1122,31,5,106,11,二组,2,3-7-3
1086,30,5,106,12,二组,3,3-7-5
1123,31,6,106,13,二组,4,3-7-7
1124,31,7,106,14,二组,5,3-7-9
1088,30,7,106,15,二组,6,3-7-11
1087,30,6,106,16,二组,7,3-7-13
1052,29,7,106,17,二组,8,3-7-15
1016,28,7,106,18,二组,9,3-7-17
1015,28,6,106,19,二组,10,3-7-19
1051,29,6,106,20,二组,11,3-8-1
1014,28,5,106,21,二组,12,3-8-3
1013,28,4,106,22,二组,13,3-8-5
1049,29,4,106,23,二组,14,3-8-7
1050,29,5,106,24,二组,15,3-8-9
1085,30,4,106,25,二组,16,3-8-11
1265,35,4,106,26,二组,17,3-8-13
1266,35,5,106,27,二组,18,3-8-15
1230,34,5,106,28,二组,19,3-8-17
1267,35,6,106,29,二组,20,3-8-19
1268,35,7,106,30,二组,21,3-9-1
1232,34,7,106,31,二组,22,3-9-3
1231,34,6,106,32,二组,23,3-9-5
1196,33,7,106,33,二组,24,3-9-7
1160,32,7,106,34,二组,25,3-9-9
1159,32,6,106,35,二组,26,3-9-11
1195,33,6,106,36,二组,27,3-9-13
1158,32,5,106,37,二组,28,3-9-15
1157,32,4,106,38,二组,29,3-9-17
1193,33,4,106,39,二组,30,3-9-19
1194,33,5,106,40,二组,31,3-10-1
1229,34,4,106,41,二组,32,3-10-3
117,3,8,106,42,二组,33,3-10-5
118,3,9,106,43,二组,34,3-10-7
82,2,9,106,44,二组,35,3-10-9
119,3,10,106,45,二组,36,3-10-11
120,3,11,106,46,二组,37,3-10-13
84,2,11,106,47,二组,38,3-10-15
83,2,10,106,48,二组,39,3-10-17
48,1,11,106,49,二组,40,3-10-19
12,0,11,107,0,二组,41,4-1-1
11,0,10,107,1,二组,42,4-1-3
47,1,10,107,2,二组,43,4-1-5
10,0,9,107,3,二组,44,4-1-7
9,0,8,107,4,二组,45,4-1-9
45,1,8,107,5,二组,46,4-1-11
46,1,9,107,6,二组,47,4-1-13
81,2,8,107,7,二组,48,4-1-15
261,7,8,107,8,二组,49,4-1-17
262,7,9,107,9,二组,50,4-1-19
226,6,9,107,10,二组,56,4-2-1
263,7,10,107,11,二组,57,4-2-3
264,7,11,107,12,二组,58,4-2-5
228,6,11,107,13,二组,59,4-2-7
227,6,10,107,14,二组,60,4-2-9
192,5,11,107,15,二组,61,4-2-11
156,4,11,107,16,二组,62,4-2-13
155,4,10,107,17,二组,63,4-2-15
191,5,10,107,18,二组,64,4-2-17
154,4,9,107,19,二组,65,4-2-19
153,4,8,107,20,二组,66,4-3-1
189,5,8,107,21,二组,67,4-3-3
190,5,9,107,22,二组,68,4-3-5
225,6,8,107,23,二组,69,4-3-7
405,11,8,107,24,二组,70,4-3-9
406,11,9,107,25,二组,71,4-3-11
370,10,9,107,26,二组,72,4-3-13
407,11,10,107,27,二组,73,4-3-15
408,11,11,107,28,二组,74,4-3-17
372,10,11,107,29,二组,75,4-3-19
371,10,10,107,30,二组,76,4-4-1
336,9,11,107,31,二组,77,4-4-3
300,8,11,107,32,二组,78,4-4-5
299,8,10,107,33,二组,79,4-4-7
335,9,10,107,34,二组,80,4-4-9
298,8,9,107,35,二组,81,4-4-11
297,8,8,107,36,二组,82,4-4-13
333,9,8,107,37,二组,83,4-4-15
334,9,9,107,38,二组,84,4-4-17
369,10,8,107,39,二组,85,4-4-19
549,15,8,107,40,二组,86,4-5-1
550,15,9,107,41,二组,87,4-5-3
514,14,9,107,42,二组,88,4-5-5
551,15,10,107,43,二组,89,4-5-7
552,15,11,107,44,二组,90,4-5-9
516,14,11,107,45,二组,91,4-5-11
515,14,10,107,46,二组,92,4-5-13
480,13,11,107,47,二组,93,4-5-15
444,12,11,107,48,二组,94,4-5-17
443,12,10,107,49,二组,95,4-5-19
479,13,10,108,0,二组,96,4-6-1
442,12,9,108,1,二组,97,4-6-3
441,12,8,108,2,二组,98,4-6-5
477,13,8,108,3,二组,99,4-6-7
478,13,9,108,4,二组,100,4-6-9
513,14,8,108,5,二组,101,4-6-11
693,19,8,108,6,二组,102,4-6-13
694,19,9,108,7,二组,103,4-6-15
658,18,9,108,8,二组,104,4-6-17
695,19,10,108,9,二组,105,4-6-19
696,19,11,108,10,二组,111,4-7-1
660,18,11,108,11,二组,112,4-7-3
659,18,10,108,12,二组,113,4-7-5
624,17,11,108,13,二组,114,4-7-7
588,16,11,108,14,二组,115,4-7-9
587,16,10,108,15,二组,116,4-7-11
623,17,10,108,16,二组,117,4-7-13
586,16,9,108,17,二组,118,4-7-15
585,16,8,108,18,二组,119,4-7-17
621,17,8,108,19,二组,120,4-7-19
622,17,9,108,20,二组,121,4-8-1
657,18,8,108,21,二组,122,4-8-3
837,23,8,108,22,二组,123,4-8-5
838,23,9,108,23,二组,124,4-8-7
802,22,9,108,24,二组,125,4-8-9
839,23,10,108,25,二组,126,4-8-11
840,23,11,108,26,二组,127,4-8-13
804,22,11,108,27,二组,128,4-8-15
803,22,10,108,28,二组,129,4-8-17
768,21,11,108,29,二组,130,4-8-19
732,20,11,108,30,二组,131,4-9-1
731,20,10,108,31,二组,132,4-9-3
767,21,10,108,32,二组,133,4-9-5
730,20,9,108,33,二组,134,4-9-7
729,20,8,108,34,二组,135,4-9-9
765,21,8,108,35,二组,136,4-9-11
766,21,9,108,36,二组,137,4-9-13
801,22,8,108,37,二组,138,4-9-15
981,27,8,108,38,二组,139,4-9-17
982,27,9,108,39,二组,140,4-9-19
946,26,9,108,40,二组,141,4-10-1
983,27,10,108,41,二组,142,4-10-3
984,27,11,108,42,二组,143,4-10-5
948,26,11,108,43,二组,144,4-10-7
947,26,10,108,44,二组,145,4-10-9
912,25,11,108,45,二组,146,4-10-11
876,24,11,108,46,二组,147,4-10-13
875,24,10,108,47,二组,148,4-10-15
911,25,10,108,48,二组,149,4-10-17
874,24,9,108,49,二组,150,4-10-19
873,24,8,103,40,二组,166,5-1-1
909,25,8,109,1,二组,167,5-1-3
910,25,9,109,2,二组,168,5-1-5
945,26,8,109,3,二组,169,5-1-7
1125,31,8,109,4,二组,170,5-1-9
1126,31,9,109,5,二组,171,5-1-11
1090,30,9,109,6,二组,172,5-1-13
1127,31,10,109,7,二组,173,5-1-15
1128,31,11,109,8,二组,174,5-1-17
1092,30,11,109,9,二组,175,5-1-19
1091,30,10,109,10,二组,176,5-2-1
1056,29,11,109,11,二组,177,5-2-3
1020,28,11,109,12,二组,178,5-2-5
1019,28,10,109,13,二组,179,5-2-7
1055,29,10,109,14,二组,180,5-2-9
1018,28,9,109,15,二组,181,5-2-11
1017,28,8,109,16,二组,182,5-2-13
1053,29,8,109,17,二组,183,5-2-15
1054,29,9,109,18,二组,184,5-2-17
1089,30,8,109,19,二组,185,5-2-19
1269,35,8,109,20,二组,186,5-3-1
1270,35,9,109,21,二组,187,5-3-3
1234,34,9,109,22,二组,188,5-3-5
1271,35,10,109,23,二组,189,5-3-7
1272,35,11,109,24,二组,190,5-3-9
1236,34,11,109,25,二组,191,5-3-11
1235,34,10,109,26,二组,192,5-3-13
1200,33,11,109,27,二组,193,5-3-15
1164,32,11,109,28,二组,194,5-3-17
1163,32,10,109,29,二组,195,5-3-19
1199,33,10,109,30,二组,196,5-4-1
1162,32,9,109,31,二组,197,5-4-3
1161,32,8,109,32,二组,198,5-4-5
1197,33,8,109,33,二组,199,5-4-7
1198,33,9,109,34,二组,200,5-4-9
1233,34,8,109,35,二组,201,5-4-11
121,3,12,109,36,二组,202,5-4-13
122,3,13,109,37,二组,203,5-4-15
86,2,13,109,38,二组,204,5-4-17
123,3,14,109,39,二组,205,5-4-19
124,3,15,109,40,二组,222,5-5-1
88,2,15,109,41,二组,223,5-5-3
87,2,14,109,42,二组,224,5-5-5
52,1,15,109,43,二组,225,5-5-7
16,0,15,109,44,二组,226,5-5-9
15,0,14,109,45,二组,227,5-5-11
51,1,14,109,46,二组,228,5-5-13
14,0,13,109,47,二组,229,5-5-15
13,0,12,109,48,二组,230,5-5-17
49,1,12,109,49,二组,231,5-5-19
50,1,13,110,0,二组,232,5-6-1
85,2,12,110,1,二组,233,5-6-3
265,7,12,110,2,二组,234,5-6-5
266,7,13,110,3,二组,235,5-6-7
230,6,13,110,4,二组,236,5-6-9
267,7,14,110,5,二组,237,5-6-11
268,7,15,110,6,二组,238,5-6-13
232,6,15,110,7,二组,239,5-6-15
231,6,14,110,8,二组,240,5-6-17
196,5,15,110,9,二组,241,5-6-19
160,4,15,110,10,二组,242,5-7-1
159,4,14,110,11,二组,243,5-7-3
195,5,14,110,12,二组,244,5-7-5
158,4,13,110,13,二组,245,5-7-7
157,4,12,110,14,二组,246,5-7-9
193,5,12,110,15,二组,247,5-7-11
194,5,13,110,16,二组,248,5-7-13
229,6,12,110,17,二组,249,5-7-15
409,11,12,110,18,二组,250,5-7-17
410,11,13,110,19,二组,251,5-7-19
374,10,13,110,20,二组,252,5-8-1
411,11,14,110,21,二组,253,5-8-3
412,11,15,110,22,二组,254,5-8-5
376,10,15,110,23,二组,255,5-8-7
375,10,14,110,24,二组,256,5-8-9
340,9,15,110,25,二组,257,5-8-11
304,8,15,110,26,二组,258,5-8-13
303,8,14,110,27,二组,259,5-8-15
339,9,14,110,28,二组,260,5-8-17
302,8,13,110,29,二组,261,5-8-19
301,8,12,110,30,二组,277,5-9-1
337,9,12,110,31,二组,278,5-9-3
338,9,13,110,32,二组,279,5-9-5
373,10,12,110,33,二组,280,5-9-7
553,15,12,110,34,二组,281,5-9-9
554,15,13,110,35,二组,282,5-9-11
518,14,13,110,36,二组,283,5-9-13
555,15,14,110,37,二组,284,5-9-15
556,15,15,110,38,二组,285,5-9-17
520,14,15,110,39,二组,286,5-9-19
519,14,14,110,40,二组,287,5-10-1
484,13,15,110,41,二组,288,5-10-3
448,12,15,110,42,二组,289,5-10-5
447,12,14,110,43,二组,290,5-10-7
483,13,14,110,44,二组,291,5-10-9
446,12,13,110,45,二组,292,5-10-11
445,12,12,110,46,二组,293,5-10-13
481,13,12,110,47,二组,294,5-10-15
482,13,13,110,48,二组,295,5-10-17
517,14,12,110,49,二组,296,5-10-19
697,19,12,101,11,二组,297,6-1-1
698,19,13,111,1,二组,298,6-1-3
662,18,13,111,2,二组,299,6-1-5
699,19,14,111,4,二组,300,6-1-7
700,19,15,111,3,二组,301,6-1-9
664,18,15,111,5,二组,302,6-1-11
663,18,14,111,6,二组,303,6-1-13
628,17,15,111,7,二组,304,6-1-15
592,16,15,111,8,二组,305,6-1-17
591,16,14,111,9,二组,306,6-1-19
627,17,14,111,10,二组,307,6-2-1
590,16,13,111,11,二组,308,6-2-3
589,16,12,111,12,二组,309,6-2-5
625,17,12,111,13,二组,310,6-2-7
626,17,13,111,14,二组,311,6-2-9
661,18,12,111,15,二组,312,6-2-11
1296,35,35,106,6,二组,313,6-2-13
1260,34,35,111,17,二组,314,6-2-15
1259,34,34,111,18,二组,315,6-2-17
1224,33,35,111,19,二组,316,6-2-19
841,23,12,111,20,三组,1,6-3-1
842,23,13,111,21,三组,2,6-3-3
806,22,13,111,22,三组,3,6-3-5
843,23,14,111,23,三组,4,6-3-7
844,23,15,111,24,三组,5,6-3-9
808,22,15,111,25,三组,6,6-3-11
807,22,14,111,26,三组,7,6-3-13
772,21,15,111,27,三组,8,6-3-15
736,20,15,111,28,三组,9,6-3-17
735,20,14,111,29,三组,10,6-3-19
771,21,14,111,30,三组,11,6-4-1
734,20,13,111,31,三组,12,6-4-3
733,20,12,111,32,三组,13,6-4-5
769,21,12,111,33,三组,14,6-4-7
770,21,13,111,34,三组,15,6-4-9
805,22,12,111,35,三组,16,6-4-11
985,27,12,111,36,三组,17,6-4-13
986,27,13,111,37,三组,18,6-4-15
950,26,13,111,38,三组,19,6-4-17
987,27,14,111,39,三组,20,6-4-19
988,27,15,111,40,三组,21,6-5-1
952,26,15,111,41,三组,22,6-5-3
951,26,14,111,42,三组,23,6-5-5
916,25,15,111,43,三组,24,6-5-7
880,24,15,111,44,三组,25,6-5-9
879,24,14,111,45,三组,26,6-5-11
915,25,14,111,46,三组,27,6-5-13
878,24,13,111,47,三组,28,6-5-15
877,24,12,111,48,三组,29,6-5-17
913,25,12,111,49,三组,30,6-5-19
914,25,13,112,0,三组,31,6-6-1
949,26,12,112,1,三组,32,6-6-3
1129,31,12,112,2,三组,33,6-6-5
1130,31,13,112,3,三组,34,6-6-7
1094,30,13,112,4,三组,35,6-6-9
1131,31,14,112,5,三组,36,6-6-11
1132,31,15,112,6,三组,37,6-6-13
1096,30,15,112,7,三组,38,6-6-15
1095,30,14,112,8,三组,39,6-6-17
1060,29,15,112,9,三组,40,6-6-19
1024,28,15,112,10,三组,41,6-7-1
1023,28,14,112,11,三组,42,6-7-3
1059,29,14,112,12,三组,43,6-7-5
1022,28,13,112,13,三组,44,6-7-7
1021,28,12,112,14,三组,45,6-7-9
1057,29,12,112,15,三组,46,6-7-11
1058,29,13,112,16,三组,47,6-7-13
1093,30,12,112,17,三组,48,6-7-15
1273,35,12,116,26,三组,49,6-7-17
1274,35,13,112,19,三组,50,6-7-19
1238,34,13,112,20,三组,56,6-8-1
1275,35,14,112,21,三组,57,6-8-3
1276,35,15,112,22,三组,58,6-8-5
1240,34,15,112,23,三组,59,6-8-7
1239,34,14,112,24,三组,60,6-8-9
1204,33,15,112,25,三组,61,6-8-11
1168,32,15,112,26,三组,62,6-8-13
1167,32,14,112,27,三组,63,6-8-15
1203,33,14,112,28,三组,64,6-8-17
1166,32,13,112,29,三组,65,6-8-19
1165,32,12,112,30,三组,66,6-9-1
1201,33,12,112,31,三组,67,6-9-3
1202,33,13,112,32,三组,68,6-9-5
1237,34,12,112,33,三组,69,6-9-7
125,3,16,112,34,三组,70,6-9-9
126,3,17,112,35,三组,71,6-9-11
90,2,17,112,36,三组,72,6-9-13
127,3,18,112,37,三组,73,6-9-15
128,3,19,112,38,三组,74,6-9-17
92,2,19,112,39,三组,75,6-9-19
91,2,18,112,40,三组,76,6-10-1
56,1,19,112,41,三组,77,6-10-3
20,0,19,112,44,三组,78,6-10-5
19,0,18,112,43,三组,79,6-10-7
55,1,18,112,42,三组,80,6-10-9
18,0,17,112,45,三组,81,6-10-11
17,0,16,112,46,三组,82,6-10-13
53,1,16,112,47,三组,83,6-10-15
54,1,17,112,48,三组,84,6-10-17
89,2,16,112,49,三组,85,6-10-19
269,7,16,113,0,三组,86,7-1-1
270,7,17,113,1,三组,87,7-1-3
234,6,17,113,2,三组,88,7-1-5
271,7,18,113,3,三组,89,7-1-7
272,7,19,113,4,三组,90,7-1-9
236,6,19,113,5,三组,91,7-1-11
235,6,18,113,6,三组,92,7-1-13
200,5,19,113,7,三组,93,7-1-15
164,4,19,113,8,三组,94,7-1-17
163,4,18,113,9,三组,95,7-1-19
199,5,18,113,10,三组,96,7-2-1
162,4,17,113,11,三组,97,7-2-3
161,4,16,113,12,三组,98,7-2-5
197,5,16,113,13,三组,99,7-2-7
198,5,17,113,14,三组,100,7-2-9
233,6,16,113,15,三组,101,7-2-11
413,11,16,113,16,三组,102,7-2-13
414,11,17,113,17,三组,103,7-2-15
378,10,17,113,18,三组,104,7-2-17
415,11,18,113,19,三组,105,7-2-19
416,11,19,113,20,三组,111,7-3-1
380,10,19,113,21,三组,112,7-3-3
379,10,18,113,22,三组,113,7-3-5
344,9,19,113,23,三组,114,7-3-7
308,8,19,113,24,三组,115,7-3-9
307,8,18,113,25,三组,116,7-3-11
343,9,18,113,26,三组,117,7-3-13
306,8,17,113,27,三组,118,7-3-15
305,8,16,113,28,三组,119,7-3-17
341,9,16,113,29,三组,120,7-3-19
342,9,17,113,30,三组,121,7-4-1
377,10,16,113,31,三组,122,7-4-3
557,15,16,113,32,三组,123,7-4-5
558,15,17,113,33,三组,124,7-4-7
522,14,17,113,34,三组,125,7-4-9
559,15,18,113,35,三组,126,7-4-11
560,15,19,113,36,三组,127,7-4-13
524,14,19,113,37,三组,128,7-4-15
523,14,18,113,38,三组,129,7-4-17
488,13,19,113,39,三组,130,7-4-19
452,12,19,113,40,三组,131,7-5-1
451,12,18,113,41,三组,132,7-5-3
487,13,18,113,42,三组,133,7-5-5
450,12,17,113,43,三组,134,7-5-7
449,12,16,113,44,三组,135,7-5-9
485,13,16,113,45,三组,136,7-5-11
486,13,17,113,46,三组,137,7-5-13
521,14,16,113,47,三组,138,7-5-15
701,19,16,113,48,三组,139,7-5-17
702,19,17,113,49,三组,140,7-5-19
666,18,17,114,0,三组,141,7-6-1
703,19,18,114,1,三组,142,7-6-3
704,19,19,114,2,三组,143,7-6-5
668,18,19,114,3,三组,144,7-6-7
667,18,18,114,4,三组,145,7-6-9
632,17,19,114,5,三组,146,7-6-11
